Order Date,Product Name,Category,Region,Quantity,Sales,Profit
11-02-2022,Tablet,Electronics,East,7,8337,753.35
12-02-2022,Tablet,Electronics,South,2,294,35.05
13-02-2022,Camera,Electronics,West,4,1848,374.66
13-02-2022,Headphones,Accessories,East,9,4914,1160.45
13-02-2022,Headphones,Accessories,North,3,3051,201.26
13-02-2022,Laptop,Electronics,North,4,3384,947.52
13-02-2022,Smartwatch,Electronics,North,4,2136,217.47
13-02-2022,Tablet,Electronics,South,6,1944,366.18
14-02-2022,Laptop,Electronics,West,3,2703,609.75
14-02-2022,Printer,Office,South,2,1518,262.65
15-02-2022,Camera,Electronics,South,4,528,152.8
15-02-2022,Printer,Office,North,4,2804,391.59
15-02-2022,Tablet,Electronics,West,4,3452,560.31
16-02-2022,Camera,Electronics,West,4,3812,312.8
16-02-2022,Laptop,Electronics,South,8,1840,461.21
16-02-2022,Mouse,Accessories,North,6,1512,423.03
16-02-2022,Mouse,Accessories,West,9,7362,1866.65
17-02-2022,Camera,Electronics,North,2,1312,386.79
17-02-2022,Mouse,Accessories,South,4,1156,326.92
17-02-2022,Smartphone,Electronics,West,2,2260,268.47
17-02-2022,Tablet,Electronics,North,1,502,92.31
18-02-2022,Monitor,Accessories,West,4,1672,432.35
18-02-2022,Mouse,Accessories,West,5,5890,309
18-02-2022,Smartwatch,Electronics,North,3,1890,492.31
18-02-2022,Tablet,Electronics,South,1,702,129.34
19-02-2022,Keyboard,Accessories,East,1,582,29.91
19-02-2022,Monitor,Accessories,West,1,442,82.73
19-02-2022,Mouse,Accessories,West,6,5622,1382.67
19-02-2022,Tablet,Electronics,East,5,5495,1276.27
19-02-2022,Tablet,Electronics,West,1,908,222.58
21-02-2022,Tablet,Electronics,West,7,2282,537.71
22-02-2022,Laptop,Electronics,West,5,3165,895.33
22-02-2022,Monitor,Accessories,North,5,2880,209.58
22-02-2022,Printer,Office,South,7,3675,227.14
23-02-2022,Monitor,Accessories,South,6,4236,739.22
23-02-2022,Mouse,Accessories,West,9,3186,483.22
24-02-2022,Headphones,Accessories,East,3,3519,935.72
24-02-2022,Keyboard,Accessories,West,7,2597,152.09
24-02-2022,Smartphone,Electronics,West,1,632,81.54
24-02-2022,Smartwatch,Electronics,East,3,1452,217.06
25-02-2022,Keyboard,Accessories,West,7,1351,310.03
25-02-2022,Mouse,Accessories,East,4,2532,404.96
25-02-2022,Mouse,Accessories,East,4,4404,793.7
25-02-2022,Printer,Office,North,3,2571,510.01
26-02-2022,Tablet,Electronics,West,2,2132,365.44
27-02-2022,Headphones,Accessories,South,2,956,202.14
27-02-2022,Keyboard,Accessories,North,4,904,108.85
27-02-2022,Keyboard,Accessories,North,4,2724,229.47
28-02-2022,Headphones,Accessories,East,6,1530,218.99
28-02-2022,Laptop,Electronics,West,8,1392,190.99
01-03-2022,Printer,Office,North,2,1796,225.15
02-03-2022,Camera,Electronics,North,3,2181,517.02
02-03-2022,Headphones,Accessories,North,7,952,215.51
02-03-2022,Keyboard,Accessories,North,3,633,162.4
03-03-2022,Headphones,Accessories,North,4,1872,448.46
03-03-2022,Monitor,Accessories,East,6,5370,1501.06
03-03-2022,Printer,Office,North,7,3297,583.86
03-03-2022,Printer,Office,South,2,1570,247.7
03-03-2022,Smartphone,Electronics,East,7,5180,463.35
04-03-2022,Smartphone,Electronics,North,6,3456,307.46
04-03-2022,Smartphone,Electronics,West,6,7128,544.54
05-03-2022,Camera,Electronics,South,1,189,19.02
05-03-2022,Keyboard,Accessories,North,4,2040,393.72
05-03-2022,Laptop,Electronics,South,7,5285,1338.58
05-03-2022,Smartwatch,Electronics,East,9,3132,443.27
05-03-2022,Tablet,Electronics,East,5,3530,803.86
06-03-2022,Mouse,Accessories,West,6,3522,626.72
07-03-2022,Printer,Office,East,7,637,68.11
07-03-2022,Tablet,Electronics,East,5,3735,957.13
08-03-2022,Keyboard,Accessories,South,4,2188,265.54
08-03-2022,Laptop,Electronics,North,4,296,65.05
08-03-2022,Laptop,Electronics,North,2,594,172.47
09-03-2022,Camera,Electronics,South,3,1377,330.44
09-03-2022,Keyboard,Accessories,North,1,158,46.24
09-03-2022,Mouse,Accessories,East,3,2172,364.77
10-03-2022,Camera,Electronics,North,7,5439,1416.62
10-03-2022,Headphones,Accessories,West,3,2529,285.65
10-03-2022,Keyboard,Accessories,South,9,1764,417.95
10-03-2022,Laptop,Electronics,West,9,3078,285.05
10-03-2022,Monitor,Accessories,West,3,2610,740.21
10-03-2022,Mouse,Accessories,East,5,5615,715.58
10-03-2022,Printer,Office,South,5,5515,330.02
10-03-2022,Tablet,Electronics,West,1,105,27.36
11-03-2022,Smartwatch,Electronics,South,1,495,55.17
12-03-2022,Camera,Electronics,East,1,706,153.59
12-03-2022,Keyboard,Accessories,East,6,6780,1794.97
12-03-2022,Laptop,Electronics,South,3,723,115.25
12-03-2022,Monitor,Accessories,West,4,2368,361.02
12-03-2022,Printer,Office,West,8,5168,672.6
12-03-2022,Smartwatch,Electronics,West,2,1750,103.99
12-03-2022,Smartwatch,Electronics,West,6,5310,1099.84
13-03-2022,Camera,Electronics,East,6,5316,782.42
13-03-2022,Laptop,Electronics,East,5,1160,227.13
13-03-2022,Monitor,Accessories,North,3,1245,119.11
14-03-2022,Camera,Electronics,North,1,812,51.13
14-03-2022,Keyboard,Accessories,West,8,3216,639.78
14-03-2022,Smartphone,Electronics,North,4,2640,183.23
14-03-2022,Smartphone,Electronics,North,5,4255,961.41
15-03-2022,Camera,Electronics,North,4,1728,403.06
15-03-2022,Keyboard,Accessories,East,5,875,96.65
15-03-2022,Keyboard,Accessories,West,3,438,67.43
15-03-2022,Keyboard,Accessories,West,3,1983,453.09
15-03-2022,Mouse,Accessories,East,2,1128,94.13
15-03-2022,Tablet,Electronics,East,7,847,147.71
16-03-2022,Headphones,Accessories,East,5,4920,323.38
16-03-2022,Tablet,Electronics,South,3,2508,431.53
17-03-2022,Headphones,Accessories,North,1,445,128.89
17-03-2022,Mouse,Accessories,South,5,4200,746.86
17-03-2022,Smartwatch,Electronics,North,4,3380,211.72
18-03-2022,Camera,Electronics,South,9,9810,1666.96
18-03-2022,Keyboard,Accessories,North,9,8370,1525.8
18-03-2022,Mouse,Accessories,West,1,104,29.67
19-03-2022,Camera,Electronics,South,2,840,153.61
19-03-2022,Headphones,Accessories,South,5,270,29.41
19-03-2022,Headphones,Accessories,South,7,7616,1317.79
19-03-2022,Keyboard,Accessories,East,4,3524,998.29
19-03-2022,Laptop,Electronics,South,5,4635,769.03
19-03-2022,Printer,Office,South,3,1611,234.84
19-03-2022,Smartphone,Electronics,West,4,2428,485.75
19-03-2022,Tablet,Electronics,West,6,3450,705.74
20-03-2022,Camera,Electronics,East,5,4485,1324.49
20-03-2022,Smartphone,Electronics,North,8,6200,1296.84
21-03-2022,Headphones,Accessories,East,9,5283,1550.3
21-03-2022,Monitor,Accessories,South,8,1064,190.73
23-03-2022,Camera,Electronics,West,2,1416,136.75
23-03-2022,Headphones,Accessories,North,2,2258,175.86
23-03-2022,Keyboard,Accessories,South,4,3496,1032.81
23-03-2022,Mouse,Accessories,North,3,369,19.22
24-03-2022,Smartwatch,Electronics,East,1,897,250.78
25-03-2022,Camera,Electronics,East,6,5154,1072.8
25-03-2022,Camera,Electronics,West,9,3699,276.07
25-03-2022,Keyboard,Accessories,North,7,7679,2270.08
25-03-2022,Smartphone,Electronics,South,2,1298,204.08
25-03-2022,Tablet,Electronics,South,5,1760,272.68
26-03-2022,Smartwatch,Electronics,North,2,2298,343.53
26-03-2022,Smartwatch,Electronics,West,8,608,163.18
26-03-2022,Tablet,Electronics,North,7,1841,496.89
27-03-2022,Camera,Electronics,East,3,1107,65.88
27-03-2022,Laptop,Electronics,East,3,1758,245.92
27-03-2022,Printer,Office,South,2,1774,322.49
27-03-2022,Printer,Office,South,7,5740,1615.9
27-03-2022,Tablet,Electronics,East,8,2080,151.14
28-03-2022,Printer,Office,East,5,5405,326.56
28-03-2022,Printer,Office,North,2,606,154.99
28-03-2022,Smartwatch,Electronics,North,2,474,120.91
29-03-2022,Mouse,Accessories,North,2,1168,172.18
29-03-2022,Mouse,Accessories,West,5,5430,310.86
29-03-2022,Printer,Office,West,8,7944,1142.83
31-03-2022,Keyboard,Accessories,South,1,189,14.88
31-03-2022,Keyboard,Accessories,South,1,657,101.85
31-03-2022,Mouse,Accessories,West,6,6516,842.83
31-03-2022,Mouse,Accessories,West,7,8008,1593.65
02-04-2022,Smartwatch,Electronics,East,9,5526,595.28
02-04-2022,Smartwatch,Electronics,South,6,4374,702.62
02-04-2022,Tablet,Electronics,South,3,2103,541.35
03-04-2022,Printer,Office,South,5,5410,1129.77
03-04-2022,Tablet,Electronics,East,8,2912,451.97
03-04-2022,Tablet,Electronics,North,3,1233,361.12
04-04-2022,Printer,Office,North,3,1254,221.19
05-04-2022,Headphones,Accessories,North,3,288,77.38
06-04-2022,Headphones,Accessories,West,4,4108,462.17
06-04-2022,Mouse,Accessories,East,7,5047,1356.23
07-04-2022,Headphones,Accessories,South,8,904,181.45
07-04-2022,Keyboard,Accessories,South,1,419,108.36
07-04-2022,Keyboard,Accessories,West,3,2067,465.39
07-04-2022,Monitor,Accessories,South,3,1833,314.79
07-04-2022,Mouse,Accessories,South,5,1210,201.45
07-04-2022,Printer,Office,East,4,2796,682.65
08-04-2022,Keyboard,Accessories,East,1,236,29.33
08-04-2022,Keyboard,Accessories,East,4,3528,411.5
08-04-2022,Monitor,Accessories,West,2,170,48.69
09-04-2022,Headphones,Accessories,East,4,388,35.21
09-04-2022,Mouse,Accessories,East,6,4302,957.38
09-04-2022,Smartphone,Electronics,East,9,9117,1780.52
09-04-2022,Smartwatch,Electronics,North,6,1242,87.37
09-04-2022,Smartwatch,Electronics,South,4,4560,507.87
10-04-2022,Headphones,Accessories,East,5,4295,414.42
10-04-2022,Mouse,Accessories,South,3,1446,356.7
10-04-2022,Mouse,Accessories,West,1,916,223.5
10-04-2022,Printer,Office,West,2,2070,183.41
11-04-2022,Camera,Electronics,North,5,410,121.77
11-04-2022,Headphones,Accessories,South,9,4752,1415.65
11-04-2022,Smartphone,Electronics,East,9,8145,2384.42
12-04-2022,Laptop,Electronics,South,4,260,66.02
13-04-2022,Mouse,Accessories,South,5,3135,787.7
13-04-2022,Smartwatch,Electronics,North,2,1756,165.6
13-04-2022,Tablet,Electronics,East,7,896,219.98
14-04-2022,Keyboard,Accessories,South,3,1674,499.63
14-04-2022,Laptop,Electronics,East,9,8496,2182.42
14-04-2022,Mouse,Accessories,East,8,4088,853.36
14-04-2022,Smartwatch,Electronics,North,7,1519,403.63
15-04-2022,Keyboard,Accessories,East,8,3208,840.97
15-04-2022,Laptop,Electronics,East,1,166,9.69
15-04-2022,Laptop,Electronics,South,3,3285,292.87
15-04-2022,Mouse,Accessories,East,9,7884,2054.02
15-04-2022,Mouse,Accessories,South,5,1465,424.64
15-04-2022,Smartwatch,Electronics,South,6,6624,1136.09
15-04-2022,Tablet,Electronics,West,9,3321,689.64
16-04-2022,Camera,Electronics,East,2,1236,120.74
16-04-2022,Headphones,Accessories,South,1,977,103.82
16-04-2022,Mouse,Accessories,East,4,840,190.13
16-04-2022,Smartwatch,Electronics,East,1,890,57.04
17-04-2022,Camera,Electronics,East,6,1728,307.44
17-04-2022,Camera,Electronics,West,8,968,271.61
17-04-2022,Keyboard,Accessories,North,6,6192,316.23
17-04-2022,Laptop,Electronics,North,4,328,90.89
18-04-2022,Mouse,Accessories,North,6,4488,939.05
20-04-2022,Camera,Electronics,South,5,4280,540.47
20-04-2022,Keyboard,Accessories,West,4,616,175.75
21-04-2022,Smartphone,Electronics,West,8,2680,598.97
21-04-2022,Smartwatch,Electronics,North,5,4505,1351.28
21-04-2022,Tablet,Electronics,East,1,631,99.31
22-04-2022,Keyboard,Accessories,East,5,1000,292.04
22-04-2022,Keyboard,Accessories,West,7,3654,670.16
22-04-2022,Printer,Office,West,8,432,98.44
23-04-2022,Headphones,Accessories,East,4,2160,631.9
23-04-2022,Headphones,Accessories,West,2,1098,239.92
23-04-2022,Printer,Office,South,7,2338,531.5
23-04-2022,Smartphone,Electronics,East,1,300,45.81
24-04-2022,Laptop,Electronics,East,2,358,51.75
24-04-2022,Monitor,Accessories,East,6,7140,869.93
24-04-2022,Smartphone,Electronics,South,2,1102,176.53
25-04-2022,Camera,Electronics,East,6,996,225.75
25-04-2022,Laptop,Electronics,South,5,5700,999.26
25-04-2022,Mouse,Accessories,South,7,1428,289.65
26-04-2022,Tablet,Electronics,South,9,5850,1511.06
27-04-2022,Camera,Electronics,East,9,2691,761.16
27-04-2022,Laptop,Electronics,East,4,1076,124.56
28-04-2022,Laptop,Electronics,West,2,432,81.31
28-04-2022,Printer,Office,East,7,5649,660.37
28-04-2022,Smartphone,Electronics,East,2,606,150.95
28-04-2022,Smartwatch,Electronics,West,1,946,280.53
29-04-2022,Camera,Electronics,East,4,3368,558.93
29-04-2022,Laptop,Electronics,East,1,403,72.45
30-04-2022,Camera,Electronics,West,8,6336,439.42
30-04-2022,Headphones,Accessories,South,8,584,107.27
30-04-2022,Keyboard,Accessories,North,5,3835,229.11
30-04-2022,Monitor,Accessories,East,6,4944,1335.04
30-04-2022,Smartwatch,Electronics,East,1,1001,225.75
02-05-2022,Keyboard,Accessories,North,2,712,205.53
02-05-2022,Laptop,Electronics,West,8,4624,1313.36
02-05-2022,Smartphone,Electronics,North,1,161,36.58
02-05-2022,Smartphone,Electronics,North,2,1270,229.39
02-05-2022,Tablet,Electronics,East,3,2508,631.85
03-05-2022,Keyboard,Accessories,North,7,3962,491.9
03-05-2022,Monitor,Accessories,West,2,1476,195.74
03-05-2022,Mouse,Accessories,North,2,596,41.37
03-05-2022,Printer,Office,South,5,3340,845.53
05-05-2022,Camera,Electronics,South,6,2982,445.01
05-05-2022,Laptop,Electronics,East,9,8010,763.32
06-05-2022,Headphones,Accessories,South,1,134,33.12
06-05-2022,Keyboard,Accessories,South,5,1455,423.81
06-05-2022,Smartphone,Electronics,East,6,612,83.75
07-05-2022,Headphones,Accessories,West,3,312,74.8
07-05-2022,Keyboard,Accessories,West,6,3150,498.63
07-05-2022,Tablet,Electronics,North,6,4332,348.61
08-05-2022,Laptop,Electronics,East,4,2896,522.82
08-05-2022,Mouse,Accessories,South,1,1162,220.93
08-05-2022,Printer,Office,North,8,5616,723.42
08-05-2022,Smartwatch,Electronics,North,2,1708,93.25
09-05-2022,Camera,Electronics,South,1,1193,153.72
09-05-2022,Camera,Electronics,West,6,4296,1240.31
09-05-2022,Monitor,Accessories,North,3,726,94.38
09-05-2022,Printer,Office,East,5,4880,1084.69
09-05-2022,Printer,Office,West,9,10656,961.3
09-05-2022,Smartphone,Electronics,East,7,7567,2213.18
09-05-2022,Smartphone,Electronics,West,2,1232,155.52
10-05-2022,Monitor,Accessories,East,8,2240,313.17
10-05-2022,Tablet,Electronics,East,5,480,73.07
10-05-2022,Tablet,Electronics,West,2,1166,170.11
11-05-2022,Camera,Electronics,East,9,8586,700.37
11-05-2022,Camera,Electronics,South,8,728,120.06
11-05-2022,Printer,Office,West,9,7506,827.17
11-05-2022,Tablet,Electronics,North,3,2007,160.84
11-05-2022,Tablet,Electronics,South,5,5865,502.73
12-05-2022,Camera,Electronics,South,5,4540,939.71
12-05-2022,Mouse,Accessories,East,3,1662,375.04
12-05-2022,Smartphone,Electronics,North,1,1184,218.27
13-05-2022,Camera,Electronics,North,2,520,61.33
13-05-2022,Headphones,Accessories,East,3,1992,252.21
13-05-2022,Monitor,Accessories,East,7,7791,907.96
13-05-2022,Monitor,Accessories,North,7,7588,1625.55
13-05-2022,Monitor,Accessories,West,8,6160,684.71
13-05-2022,Mouse,Accessories,South,5,5070,986.39
13-05-2022,Printer,Office,East,7,5635,1665.01
13-05-2022,Smartwatch,Electronics,East,1,483,98.15
14-05-2022,Camera,Electronics,South,1,873,158.97
14-05-2022,Headphones,Accessories,West,3,1083,257.44
14-05-2022,Keyboard,Accessories,East,4,2284,576.59
14-05-2022,Laptop,Electronics,East,9,963,49.71
14-05-2022,Printer,Office,West,3,1563,221.62
15-05-2022,Mouse,Accessories,North,7,7469,589.81
15-05-2022,Mouse,Accessories,North,8,2760,156.53
15-05-2022,Smartwatch,Electronics,South,2,390,115.48
15-05-2022,Smartwatch,Electronics,South,1,263,69.39
16-05-2022,Camera,Electronics,West,2,1492,276.56
16-05-2022,Keyboard,Accessories,West,5,5755,1441.84
16-05-2022,Monitor,Accessories,North,8,3032,278.85
16-05-2022,Monitor,Accessories,South,2,2314,305.42
17-05-2022,Camera,Electronics,East,9,5634,464.71
17-05-2022,Smartwatch,Electronics,East,7,2688,603.07
17-05-2022,Smartwatch,Electronics,South,3,2187,491.13
18-05-2022,Headphones,Accessories,North,3,2256,282.52
18-05-2022,Mouse,Accessories,West,4,1208,351.47
18-05-2022,Printer,Office,West,6,2604,305.73
18-05-2022,Smartwatch,Electronics,East,3,1692,348.81
18-05-2022,Tablet,Electronics,West,2,1768,375.86
19-05-2022,Headphones,Accessories,West,5,4025,407.72
19-05-2022,Laptop,Electronics,East,2,646,110.13
19-05-2022,Smartwatch,Electronics,South,4,2128,614.05
20-05-2022,Keyboard,Accessories,East,2,1270,84.29
20-05-2022,Keyboard,Accessories,North,2,1608,170.29
20-05-2022,Keyboard,Accessories,South,8,2128,294.45
21-05-2022,Camera,Electronics,West,5,250,16.81
21-05-2022,Monitor,Accessories,North,2,1214,163.8
22-05-2022,Printer,Office,South,1,1148,89.04
22-05-2022,Printer,Office,West,2,1874,271.5
22-05-2022,Smartphone,Electronics,North,6,4596,1162.75
23-05-2022,Camera,Electronics,North,3,924,183.18
23-05-2022,Headphones,Accessories,East,4,1964,349.91
23-05-2022,Printer,Office,North,1,985,105.09
24-05-2022,Keyboard,Accessories,West,2,486,64.43
24-05-2022,Laptop,Electronics,North,9,8460,1201.94
24-05-2022,Laptop,Electronics,South,7,4641,1341.98
24-05-2022,Monitor,Accessories,East,9,4968,991.82
24-05-2022,Printer,Office,North,4,3600,623.72
25-05-2022,Monitor,Accessories,East,4,2604,411.38
25-05-2022,Printer,Office,South,4,1612,240.42
26-05-2022,Camera,Electronics,South,8,8720,1984.11
28-05-2022,Keyboard,Accessories,South,1,713,62.78
28-05-2022,Laptop,Electronics,West,8,5272,1188.16
28-05-2022,Printer,Office,East,1,1118,319.28
28-05-2022,Smartwatch,Electronics,West,8,4288,597.09
29-05-2022,Headphones,Accessories,East,4,3912,454.89
29-05-2022,Monitor,Accessories,North,9,6471,1844.59
29-05-2022,Smartphone,Electronics,North,3,1674,106.24
29-05-2022,Smartphone,Electronics,West,5,2385,258.6
29-05-2022,Smartwatch,Electronics,West,7,1673,458.32
29-05-2022,Tablet,Electronics,East,9,4041,963.58
30-05-2022,Headphones,Accessories,North,1,465,26.5
30-05-2022,Keyboard,Accessories,East,8,8240,2006.72
30-05-2022,Monitor,Accessories,South,3,1872,553.1
31-05-2022,Monitor,Accessories,East,3,2139,503.08
31-05-2022,Monitor,Accessories,South,6,7020,726.72
31-05-2022,Printer,Office,North,2,112,23.33
01-06-2022,Headphones,Accessories,North,2,1022,76.04
01-06-2022,Mouse,Accessories,West,8,6080,1171.93
02-06-2022,Smartwatch,Electronics,East,7,4396,962.61
02-06-2022,Tablet,Electronics,West,7,847,154.05
03-06-2022,Mouse,Accessories,West,6,5460,845.75
04-06-2022,Camera,Electronics,East,5,4235,747.96
04-06-2022,Keyboard,Accessories,North,3,942,84.8
04-06-2022,Monitor,Accessories,North,8,7728,1748.26
04-06-2022,Smartwatch,Electronics,East,9,1998,343.58
04-06-2022,Tablet,Electronics,East,6,3432,452.4
05-06-2022,Laptop,Electronics,West,3,3561,206.87
05-06-2022,Smartphone,Electronics,South,9,6417,1100.52
